_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
127,2018-11-29 02:35:01.690000,124,0,0,ul. św. Antoniego
128,2018-11-29 02:40:00,590,0,0,Narodowe Forum Muzyki
129,2018-11-29 02:40:00.013000,272,0,0,Nowy Targ
130,2018-11-29 02:40:01.273000,124,0,0,ul. św. Antoniego
131,2018-11-29 02:40:01.987000,792,0,0,Parking Hala Stulecia
132,2018-11-29 02:45:00,591,0,1,Narodowe Forum Muzyki
133,2018-11-29 02:45:00.010000,272,0,0,Nowy Targ
134,2018-11-29 02:45:01.493000,792,0,0,Parking Hala Stulecia
135,2018-11-29 02:45:02.123000,124,0,0,ul. św. Antoniego
136,2018-11-29 02:50:00,591,0,0,Narodowe Forum Muzyki
137,2018-11-29 02:50:00.010000,272,0,0,Nowy Targ
138,2018-11-29 02:50:01.603000,792,0,0,Parking Hala Stulecia
139,2018-11-29 02:50:02.103000,124,0,0,ul. św. Antoniego
140,2018-11-29 02:55:00,591,0,0,Narodowe Forum Muzyki
141,2018-11-29 02:55:00.010000,272,0,0,Nowy Targ
142,2018-11-29 02:55:01.360000,124,0,0,ul. św. Antoniego
143,2018-11-29 02:55:01.960000,792,0,0,Parking Hala Stulecia
144,2018-11-29 03:00:00,591,0,0,Narodowe Forum Muzyki
145,2018-11-29 03:00:00.013000,272,0,0,Nowy Targ
146,2018-11-29 03:00:01.357000,792,0,0,Parking Hala Stulecia
147,2018-11-29 03:00:01.947000,124,0,0,ul. św. Antoniego
148,2018-11-29 03:05:00,591,0,0,Narodowe Forum Muzyki
149,2018-11-29 03:05:00.010000,272,0,0,Nowy Targ
150,2018-11-29 03:05:01.357000,124,0,0,ul. św. Antoniego
151,2018-11-29 03:05:01.797000,792,0,0,Parking Hala Stulecia
152,2018-11-29 03:10:00,591,0,0,Narodowe Forum Muzyki
153,2018-11-29 03:10:00.013000,272,0,0,Nowy Targ
154,2018-11-29 03:10:01.367000,124,0,0,ul. św. Antoniego
155,2018-11-29 03:10:01.413000,792,0,0,Parking Hala Stulecia
156,2018-11-29 03:15:00,591,0,0,Narodowe Forum Muzyki
157,2018-11-29 03:15:00.010000,272,0,0,Nowy Targ
158,2018-11-29 03:15:01.810000,792,0,0,Parking Hala Stulecia
159,2018-11-29 03:15:02.097000,124,0,0,ul. św. Antoniego
160,2018-11-29 03:20:00,591,0,0,Narodowe Forum Muzyki
161,2018-11-29 03:20:00.010000,272,0,0,Nowy Targ
162,2018-11-29 03:20:01.197000,792,0,0,Parking Hala Stulecia
163,2018-11-29 03:20:01.693000,124,0,0,ul. św. Antoniego
164,2018-11-29 03:25:00,591,0,0,Narodowe Forum Muzyki
165,2018-11-29 03:25:00.007000,272,0,0,Nowy Targ
166,2018-11-29 03:25:01.910000,124,0,0,ul. św. Antoniego
167,2018-11-29 03:25:02.073000,792,0,0,Parking Hala Stulecia
168,2018-11-29 03:30:00,591,0,0,Narodowe Forum Muzyki
169,2018-11-29 03:30:00.010000,272,0,0,Nowy Targ
170,2018-11-29 03:30:01.477000,124,0,0,ul. św. Antoniego
171,2018-11-29 03:30:01.800000,792,0,0,Parking Hala Stulecia
172,2018-11-29 03:35:00,591,0,0,Narodowe Forum Muzyki
173,2018-11-29 03:35:00.010000,272,0,0,Nowy Targ
174,2018-11-29 03:35:01.293000,792,0,0,Parking Hala Stulecia
175,2018-11-29 03:35:01.907000,124,0,0,ul. św. Antoniego
176,2018-11-29 03:40:00,591,0,0,Narodowe Forum Muzyki
177,2018-11-29 03:40:00.013000,272,0,0,Nowy Targ
178,2018-11-29 03:40:01.887000,124,0,0,ul. św. Antoniego
179,2018-11-29 03:40:02.053000,792,0,0,Parking Hala Stulecia
180,2018-11-29 03:45:00,591,0,0,Narodowe Forum Muzyki
181,2018-11-29 03:45:00.023000,272,2,2,Nowy Targ
182,2018-11-29 03:45:01.620000,792,0,0,Parking Hala Stulecia
183,2018-11-29 03:45:02.073000,124,0,0,ul. św. Antoniego
184,2018-11-29 03:50:00,591,0,0,Narodowe Forum Muzyki
185,2018-11-29 03:50:00.013000,272,0,0,Nowy Targ
186,2018-11-29 03:50:01.280000,792,0,0,Parking Hala Stulecia
187,2018-11-29 03:50:01.400000,124,0,0,ul. św. Antoniego
188,2018-11-29 03:55:00,591,0,0,Narodowe Forum Muzyki
189,2018-11-29 03:55:00.010000,273,1,1,Nowy Targ
190,2018-11-29 03:55:01.657000,124,0,0,ul. św. Antoniego
191,2018-11-29 03:55:01.750000,792,0,0,Parking Hala Stulecia
192,2018-11-29 04:00:00,591,0,0,Narodowe Forum Muzyki
193,2018-11-29 04:00:00.010000,273,0,0,Nowy Targ
194,2018-11-29 04:00:01.453000,792,0,0,Parking Hala Stulecia
195,2018-11-29 04:00:01.557000,124,0,0,ul. św. Antoniego
196,2018-11-29 04:05:00,591,0,0,Narodowe Forum Muzyki
197,2018-11-29 04:05:00.017000,273,0,0,Nowy Targ
198,2018-11-29 04:05:01.263000,124,0,0,ul. św. Antoniego
199,2018-11-29 04:05:01.453000,792,0,0,Parking Hala Stulecia
200,2018-11-29 04:10:00,591,0,0,Narodowe Forum Muzyki
201,2018-11-29 04:10:00.020000,274,1,1,Nowy Targ
202,2018-11-29 04:10:01.687000,792,0,0,Parking Hala Stulecia
203,2018-11-29 04:10:01.850000,124,0,0,ul. św. Antoniego
204,2018-11-29 04:15:00,591,0,0,Narodowe Forum Muzyki
205,2018-11-29 04:15:00.010000,274,0,0,Nowy Targ
206,2018-11-29 04:15:01.277000,792,0,0,Parking Hala Stulecia
207,2018-11-29 04:15:01.910000,124,0,0,ul. św. Antoniego
208,2018-11-29 04:20:00,591,0,0,Narodowe Forum Muzyki
209,2018-11-29 04:20:00.013000,275,1,1,Nowy Targ
210,2018-11-29 04:20:01.370000,124,0,0,ul. św. Antoniego
211,2018-11-29 04:20:01.853000,792,0,0,Parking Hala Stulecia
